player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Terrill Davis,200355,WR,OKLA STATE,12,13.4,5,49.2,36.8,7,19,0,9.4,3,18,262,0,64.3,71.7,62.1,89.7,60.4,0.0,0,1,41,0.6,2,346,1,29,94.8,328,13.6,47,62.3,59,0,85.8,297,373,144,5.0,12.9,1.14
Dezmen Roebuck,199530,WR,WASHINGTON,13,11.4,8,71.2,50.0,4,8,0,2.3,1,30,340,0,85.9,57.0,70.1,75.3,71.0,0.0,0,3,59,1.1,4,374,1,42,96.3,360,28.1,105,119.3,59,7,71.9,269,560,238,5.7,13.3,1.56
Chase Sowell,157700,WR,IOWA STATE,12,14.2,12,54.2,63.6,7,11,0,15.8,6,23,193,0,44.5,72.0,65.6,62.1,66.5,0.0,0,2,52,0.4,1,280,5,32,94.3,264,35.7,100,79.8,59,2,64.3,180,501,139,4.3,15.7,1.9
Isaiah Horton,162735,WR,ALABAMA,15,11.6,4,71.2,45.5,5,11,0,8.7,4,28,103,0,66.4,73.2,64.1,,65.3,0.8,3,3,37,0.0,0,365,2,42,96.7,353,11.5,42,115.9,59,8,87.4,319,511,97,2.3,12.2,1.45
Wayne Harris,184076,WR,KENT STATE,12,9.8,10,61.0,25.0,2,8,1,5.3,2,18,201,0,75.8,82.4,66.7,,69.5,0.0,0,0,42,0.0,0,267,1,36,96.3,257,79.8,213,86.2,59,1,19.9,53,391,142,3.9,10.9,1.52
Carsen Ryan,162467,TE,BYU,14,6.5,11,76.3,22.2,2,9,0,4.3,2,28,128,0,80.2,73.7,82.6,57.5,82.6,55.9,245,2,43,26.0,114,438,3,45,69.4,304,31.3,137,112.3,59,3,10.5,46,620,336,7.5,13.8,2.04
Malik Benson,169698,WR,OREGON,15,13.8,3,72.9,60.0,6,10,0,2.3,1,27,264,0,85.7,80.5,73.0,,75.6,0.0,0,2,64,0.0,0,293,1,43,94.5,277,20.1,59,133.4,59,6,79.5,233,719,180,4.2,16.7,2.6
Dylan Wade,170208,TE,UCF,11,7.7,3,72.9,50.0,2,4,0,2.3,1,23,323,0,85.5,73.2,68.5,49.4,78.0,54.1,152,1,83,10.3,29,281,3,43,87.5,246,36.7,103,120.9,59,5,7.5,21,523,323,7.5,12.2,2.13
Javin Whatley,149832,WR,ARIZONA,13,11.6,9,69.5,33.3,2,6,0,6.8,3,18,109,0,72.3,76.5,66.6,,68.0,0.4,1,2,85,0.0,0,279,1,41,93.2,260,93.5,261,108.7,59,5,5.0,14,490,221,5.4,12.0,1.88
Nick Devereaux,157469,WR,E MICHIGAN,12,15.0,7,60.3,42.9,6,14,0,7.9,3,23,160,0,68.0,72.3,67.0,,67.5,0.0,0,3,45,0.0,0,334,1,35,92.5,309,5.4,18,107.0,58,7,94.6,316,510,104,3.0,14.6,1.65
Joshua Long,204851,TE,E MICHIGAN,12,7.3,4,63.8,45.5,5,11,0,5.1,2,19,160,0,78.2,73.0,61.6,70.0,63.1,30.0,121,1,27,11.2,45,403,0,37,83.4,336,68.2,275,90.9,58,3,1.2,5,357,151,4.1,9.6,1.06
Vernell Brown III,200125,WR,FLORIDA,10,8.6,7,69.0,66.7,4,6,0,14.9,7,22,163,1,46.4,63.9,65.1,,64.7,0.4,1,3,60,0.0,0,258,1,40,95.7,247,57.8,149,74.7,58,0,40.7,105,511,277,6.9,12.8,2.07
Garrett Oakley,157772,TE,KANSAS ST,11,6.2,2,65.5,75.0,6,8,0,13.6,6,21,199,1,52.2,39.5,72.2,52.6,73.4,40.1,109,2,35,11.0,30,272,1,38,85.7,233,50.0,136,104.7,58,6,6.6,18,389,215,5.7,10.2,1.67
Tailique Williams,123867,WR,W MICHIGAN,14,9.6,17,60.3,16.7,1,6,0,2.8,1,15,347,0,83.1,76.4,67.3,,67.2,0.0,0,2,71,0.0,0,238,0,35,94.1,224,85.3,203,83.8,58,2,13.4,32,478,257,7.3,13.7,2.13
Jeff Caldwell,154188,WR,CINCINNATI,13,15.0,11,55.2,38.5,5,13,0,8.6,3,25,138,0,65.7,72.0,70.0,,71.5,0.0,0,0,40,0.0,0,232,2,32,95.3,221,8.2,19,116.9,58,6,91.8,213,478,119,3.7,14.9,2.16
Kobe Paysour,143974,WR,N CAROLINA,12,12.9,10,63.2,40.0,4,10,0,0.0,0,22,245,1,90.8,31.8,65.9,,68.1,0.3,1,0,44,0.0,0,332,1,36,92.5,307,15.4,51,92.9,57,1,84.3,280,443,162,4.5,12.3,1.44
Jyrin Johnson,141965,TE,BOWL GREEN,12,6.6,8,64.9,61.5,8,13,0,7.5,3,23,122,0,69.1,72.6,67.9,71.3,69.8,28.3,79,1,38,1.8,5,279,2,37,94.6,264,55.6,155,94.6,57,2,16.1,45,466,271,7.3,12.6,1.77
Donovan Brown,158293,WR,S DIEGO ST,13,16.3,6,57.9,53.8,7,13,0,0.0,0,20,284,0,90.3,73.6,64.7,,65.3,0.0,0,2,52,0.0,0,332,3,33,93.4,310,11.1,37,85.6,57,2,88.9,295,522,106,3.2,15.8,1.68
Cam'ron Lacy,170486,WR,MIDDLE TN,12,11.2,15,66.7,83.3,5,6,0,11.6,5,21,224,1,57.4,44.1,73.3,,73.6,0.4,1,1,68,0.0,0,227,2,38,92.5,210,93.4,212,108.0,57,3,6.2,14,549,265,7.0,14.4,2.61
Langston Lewis,158597,WR,C MICHIGAN,13,11.0,11,75.4,66.7,6,9,0,2.3,1,23,134,0,86.2,75.3,73.9,,76.8,0.8,2,3,77,0.0,0,263,0,43,93.2,245,40.7,107,104.1,57,3,58.6,154,596,259,6.0,13.9,2.43
Jaren Kanak,158070,TE,OKLAHOMA,13,7.5,8,77.2,60.0,3,5,3,2.2,1,21,261,1,85.9,42.4,64.0,61.1,71.2,41.0,151,2,48,12.5,46,368,6,44,83.2,306,44.6,164,90.5,57,0,9.2,34,530,270,6.1,12.0,1.73
