player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Terry Lockett Jr.,129625,WR,E MICHIGAN,5,12.1,2,51.4,50.0,3,6,0,0.0,0,11,160,0,85.5,70.1,64.9,,65.1,0.0,0,1,64,0.0,0,172,0,19,94.8,163,19.2,33,72.2,37,1,80.8,139,263,67,3.5,13.8,1.61
Teddy Hoffmann,198966,WR,NC STATE,13,13.7,1,69.4,62.5,5,8,0,3.8,1,13,248,0,68.4,78.3,71.3,,69.6,0.0,0,1,55,0.0,0,173,0,25,93.1,161,72.3,125,117.0,36,3,27.7,48,353,83,3.3,14.1,2.19
Justin Bowick,159603,WR,ILLINOIS,12,14.9,0,61.1,50.0,5,10,0,0.0,0,17,187,0,86.7,70.6,70.4,,70.2,0.0,0,1,25,0.0,0,173,1,22,93.1,161,6.9,12,111.7,36,5,93.1,161,265,41,1.9,12.0,1.65
Baylin Brooks,175749,WR,W MICHIGAN,14,13.0,4,75.0,44.4,4,9,2,6.9,2,18,347,0,70.1,71.6,67.2,,67.4,0.0,0,0,42,0.0,0,260,2,27,94.6,246,15.4,40,107.6,36,0,83.8,218,372,96,3.6,13.8,1.51
Riley Nowakowski,129928,TE,INDIANA,16,5.3,10,88.9,57.1,4,7,0,0.0,0,15,190,0,90.1,72.9,79.6,69.6,75.5,67.2,270,0,43,38.3,154,402,1,32,57.2,230,21.6,87,130.0,36,2,9.5,38,387,246,7.7,12.1,1.68
Mike Washington Jr.,145672,HB,ARKANSAS,12,0.0,3,77.8,0.0,0,2,0,3.4,1,8,111,0,79.5,64.2,78.3,28.4,65.6,0.3,1,0,35,25.2,81,322,0,28,71.1,229,1.6,5,102.1,36,1,5.3,17,226,243,8.7,8.1,0.99
Derek Eusebio,176528,WR,ARIZONA ST,12,8.1,3,61.1,40.0,2,5,0,8.3,2,12,110,0,65.9,72.0,57.4,62.1,57.9,0.0,0,0,68,0.4,1,276,1,22,96.0,265,94.6,261,111.0,36,2,5.4,15,341,187,8.5,15.5,1.29
Cam Barfield,162657,HB,HAWAII,13,-1.7,5,72.2,0.0,0,1,0,13.3,4,10,180,0,53.7,74.8,72.4,49.6,68.7,0.0,0,1,59,30.5,58,190,1,26,67.4,128,14.7,28,106.9,36,3,0.5,1,246,303,11.7,9.5,1.92
Luke Lindenmeyer,156460,TE,NEBRASKA,13,5.6,9,80.6,66.7,2,3,1,3.3,1,15,238,0,80.9,71.9,66.9,68.2,66.3,61.6,244,1,26,27.5,109,396,2,29,70.5,279,24.5,97,109.7,36,2,13.6,54,312,184,6.3,10.8,1.12
Jaquari Lewis,198096,HB,APP STATE,13,-0.4,6,88.9,66.7,2,3,0,3.0,1,13,108,0,82.0,89.9,73.8,37.4,70.1,0.8,2,1,23,16.7,44,263,1,32,80.2,211,5.3,14,77.3,36,0,4.9,13,192,209,6.5,6.0,0.91
Rashod Dubinion,157020,HB,APP STATE,12,0.8,9,75.0,100.0,1,1,0,12.9,4,10,108,0,53.7,64.9,76.0,47.6,55.1,0.3,1,1,25,20.1,63,313,0,27,77.0,241,4.2,13,72.7,36,0,7.0,22,170,181,6.7,6.3,0.71
Malick Meiga,129791,WR,COAST CAR,11,11.2,0,55.6,60.0,3,5,0,13.0,3,9,141,0,53.7,70.2,56.1,,56.1,0.0,0,1,32,0.0,0,196,0,20,93.9,184,5.1,10,70.5,36,1,94.4,185,211,81,4.1,10.6,1.15
Tama Uiliata,184180,WR,HAWAII,13,5.7,2,77.8,40.0,2,5,0,0.0,0,12,180,0,88.6,84.5,60.6,,60.3,0.0,0,0,30,0.0,0,259,3,28,93.8,243,92.7,240,93.4,36,0,7.3,19,231,121,4.3,8.3,0.95
Greg Desrosiers Jr.,158759,HB,MEMPHIS,10,-0.9,13,91.7,,0,0,0,0.0,0,9,218,0,90.1,75.5,75.6,29.7,79.9,0.0,0,0,24,28.1,73,260,0,33,68.1,177,3.8,10,102.8,36,1,2.3,6,232,268,8.1,7.0,1.31
Andrel Anthony,144916,WR,DUKE,11,12.9,2,72.2,77.8,7,9,0,3.7,1,14,154,0,78.9,71.3,67.3,62.1,66.7,0.0,0,0,35,0.5,1,215,0,26,94.0,202,14.9,32,130.3,36,5,84.7,182,246,76,2.9,9.5,1.22
Lyndon Ravare,191091,WR,KENNESAW,10,10.7,0,55.6,66.7,4,6,0,9.1,2,10,200,1,63.8,26.3,52.9,66.6,55.1,0.8,2,1,38,0.8,2,250,2,20,95.2,238,12.0,30,72.7,36,1,86.8,217,230,51,2.6,11.5,0.97
Semaj Morgan,174043,WR,MICHIGAN,11,5.0,9,55.6,,0,0,0,28.6,8,11,222,1,20.3,33.2,55.7,64.5,56.7,0.6,1,0,32,0.6,1,171,1,20,95.3,163,81.3,139,83.4,36,1,17.5,30,223,190,9.5,11.2,1.37
Ayden Williams,172531,WR,MISS STATE,13,10.3,2,58.3,85.7,6,7,0,12.5,3,10,227,0,54.9,70.4,51.9,,51.4,0.0,0,0,49,0.0,0,334,0,21,93.7,313,9.0,30,79.9,36,0,91.0,304,252,95,4.5,12.0,0.81
Will Nixon,129707,HB,SYRACUSE,12,1.1,3,72.2,,0,0,0,7.1,2,8,304,0,70.7,75.6,62.7,20.0,63.8,0.0,0,0,21,27.3,78,286,0,26,67.5,193,11.2,32,83.9,36,0,4.2,12,187,167,6.4,7.2,0.97
Kewan Lacy,190221,HB,OLE MISS,15,-2.9,11,80.6,,0,0,0,14.7,5,7,226,0,48.1,85.7,86.9,54.2,50.7,0.0,0,0,22,33.9,156,460,0,29,63.5,292,7.0,32,87.2,36,0,3.7,17,177,273,9.4,6.1,0.61
Randy Pittman Jr.,176195,TE,FLORIDA ST,9,9.0,0,65.7,66.7,2,3,0,4.2,1,10,167,0,68.4,73.8,62.2,56.4,59.9,30.5,102,1,35,24.6,82,334,3,23,70.4,235,49.1,164,88.7,35,2,13.5,45,208,62,2.7,9.0,0.89
John Michael Gyllenborg,150698,TE,WYOMING,9,6.6,3,68.6,33.3,2,6,0,11.1,3,11,351,0,58.4,70.9,54.1,64.6,64.0,56.4,124,2,24,14.5,32,220,0,24,81.4,179,40.9,90,70.1,35,1,1.4,3,211,118,4.9,8.8,1.18
Caleb Hawkins,199001,HB,N TEXAS,13,-2.5,17,91.4,50.0,1,2,0,3.0,1,18,251,1,81.4,79.9,92.6,50.4,69.9,0.0,0,0,68,16.1,45,279,0,32,80.6,225,10.0,28,148.8,35,4,3.2,9,370,454,14.2,11.6,1.64
Michael Fitzgerald,147418,WR,WYOMING,12,16.5,1,45.7,41.7,5,12,0,5.9,1,11,351,1,72.8,25.3,57.8,,60.5,0.0,0,2,35,0.0,0,218,1,16,93.6,204,6.9,15,72.1,35,3,93.1,203,228,17,1.1,14.3,1.12
Ramone Green Jr.,171449,HB,MO STATE,13,3.7,8,80.0,50.0,1,2,0,0.0,0,14,230,0,88.6,82.6,81.6,64.1,89.3,0.0,0,0,76,25.7,53,206,0,28,70.9,146,1.5,3,146.2,35,3,5.3,11,428,353,12.6,15.3,2.93
Gio Richardson,198110,WR,ARIZONA,12,11.7,0,60.0,50.0,3,6,0,8.7,2,11,109,0,56.1,71.1,68.0,,70.2,0.9,1,1,60,0.0,0,113,1,21,89.4,101,89.4,101,94.8,35,2,9.7,11,299,129,6.1,14.2,2.96
Jaylen Bonelli,171689,WR,ARK STATE,13,11.7,0,62.9,57.1,4,7,0,8.3,2,11,113,0,65.7,76.7,59.9,,59.9,0.5,1,1,34,0.0,0,206,4,22,93.2,192,14.1,29,94.9,35,3,85.4,176,200,67,3.0,9.1,1.04
Luke Reynolds,183611,TE,PENN STATE,13,5.6,6,74.3,57.1,4,7,0,10.3,3,12,266,1,60.7,30.1,62.8,66.2,58.2,36.3,87,2,22,11.3,27,240,0,26,86.7,208,46.3,111,70.8,35,0,15.0,36,257,157,6.0,9.9,1.24
Kobe Prentice,163609,WR,BAYLOR,11,9.4,6,74.3,0.0,0,1,0,7.1,2,11,118,0,69.2,71.2,72.3,,73.1,0.0,0,1,73,0.0,0,175,0,26,92.0,161,95.4,167,136.9,35,6,4.6,8,380,195,7.5,14.6,2.36
Cade Wolford,188243,WR,KENT STATE,12,14.4,3,55.9,100.0,1,1,0,5.0,1,12,201,0,74.6,76.0,80.3,67.5,77.8,0.0,0,0,79,0.6,1,155,1,19,92.3,143,77.4,120,140.3,34,7,9.7,15,509,241,12.7,26.8,3.56
Jalen Cooper,199179,WR,SMU,13,11.9,2,52.9,40.0,4,10,0,18.2,4,10,287,0,53.9,71.1,61.5,,59.6,0.0,0,2,75,0.0,0,198,0,18,94.9,188,6.6,13,79.4,34,2,93.4,185,311,90,5.0,17.3,1.65
Jonah Coleman,158717,HB,WASHINGTON,12,-1.1,8,91.2,,0,0,0,0.0,0,12,340,1,89.8,81.7,82.1,60.3,71.8,0.0,0,0,45,26.4,74,280,0,31,71.4,200,2.9,8,128.7,34,2,7.1,20,346,383,12.4,11.2,1.73
Jeremiyah Love,171090,HB,NOTRE DAME,12,2.4,8,79.4,0.0,0,2,0,3.6,1,13,258,0,70.7,85.0,93.1,55.5,72.6,0.0,0,0,36,27.4,62,226,1,27,67.7,153,6.6,15,130.4,34,3,4.0,9,280,268,9.9,10.4,1.83
Grayson Tempest,127630,WR,TULSA,8,13.1,2,64.7,50.0,4,8,0,8.3,2,10,320,0,66.8,76.7,62.2,,62.8,0.0,0,1,51,0.0,0,208,2,22,91.3,190,56.3,117,86.9,34,1,43.8,91,272,92,4.2,12.4,1.43
Jairus Mack,145562,WR,W KENTUCKY,9,7.2,3,70.6,60.0,3,5,0,0.0,0,14,346,0,87.4,82.7,65.4,,64.6,0.0,0,3,32,0.0,0,190,0,24,94.7,180,91.6,174,61.3,34,1,7.4,14,223,95,4.0,9.3,1.24
Dallas Payne,156630,TE,FIU,12,5.2,7,79.4,100.0,1,1,0,6.9,2,16,166,0,71.4,71.6,65.1,73.0,67.5,50.8,155,1,42,23.3,71,305,4,27,70.2,214,32.1,98,129.5,34,4,14.8,45,293,167,6.2,10.9,1.37
Malik Sherrod,128189,HB,BOISE ST,14,0.6,6,82.4,100.0,1,1,0,9.7,3,6,120,1,62.7,82.2,69.4,54.8,52.6,0.0,0,0,39,26.5,57,215,0,28,70.2,151,7.4,16,116.2,34,2,9.8,21,244,245,8.8,8.7,1.62
JV Gibson,193295,WR,OKLAHOMA,9,10.5,3,55.9,71.4,5,7,0,5.0,1,10,261,0,74.4,70.3,57.0,,56.8,0.0,0,2,38,0.0,0,236,1,19,92.8,219,11.0,26,58.9,34,1,89.0,210,204,62,3.3,10.7,0.93
Reese Smith,123432,WR,LIBERTY,12,8.2,1,67.6,60.0,3,5,0,8.0,2,10,206,2,66.7,32.6,59.3,,59.7,0.0,0,4,23,0.0,0,211,2,23,94.3,199,98.6,208,54.3,34,1,1.4,3,209,85,3.7,9.1,1.05
Levi Wentz,145365,WR,KANSAS,12,15.1,2,47.1,0.0,0,6,0,15.8,3,12,198,0,49.0,69.7,61.1,,59.0,0.0,0,0,50,0.0,0,227,0,16,95.2,216,14.5,33,92.5,34,2,85.5,194,258,110,6.9,16.1,1.19
Jayvontay Conner,172510,TE,E CAROLINA,12,8.6,6,67.6,33.3,1,3,0,8.0,2,16,156,1,66.7,29.0,69.8,70.6,72.6,37.2,92,0,79,36.0,89,247,1,23,59.5,147,42.5,105,130.3,34,3,1.6,4,346,200,8.7,15.0,2.35
Jamarien Wheeler,175067,WR,E MICHIGAN,11,12.0,3,67.6,33.3,3,9,0,8.0,2,16,160,1,67.6,28.1,64.0,,62.9,0.0,0,1,43,0.0,0,211,1,23,92.9,196,4.7,10,102.7,34,2,95.3,201,301,102,4.4,13.1,1.54
Lavon Brown,173467,WR,COLO STATE,12,9.7,6,66.7,66.7,4,6,1,12.0,3,14,144,0,56.1,71.9,56.9,63.6,58.3,0.0,0,1,31,0.4,1,227,2,22,93.8,213,42.3,96,75.8,33,0,57.7,131,244,93,4.2,11.1,1.15
Cameron Dickey,184897,HB,TEXAS TECH,14,0.2,5,72.7,25.0,1,4,0,11.1,3,7,315,0,59.7,61.5,76.0,30.4,56.6,0.0,0,0,69,28.1,85,302,0,24,69.9,211,3.6,11,110.3,33,2,6.0,18,217,214,8.9,9.0,1.03
Colbie Young,162739,WR,GEORGIA,8,11.8,10,78.8,66.7,2,3,0,7.1,2,19,173,0,70.7,71.5,76.3,,76.7,0.0,0,1,45,0.0,0,183,1,26,90.7,166,6.6,12,112.2,33,1,93.4,171,381,167,6.4,14.7,2.3
James BlackStrain,143905,WR,MO STATE,11,8.6,3,66.7,50.0,2,4,0,8.3,2,13,230,0,65.7,70.6,60.1,,58.8,0.0,0,1,32,0.0,0,234,0,22,92.3,216,3.0,7,83.4,33,1,97.0,227,224,83,3.8,10.2,1.04
Tychaun Chapman,162741,WR,SO MISS,13,17.7,5,72.7,50.0,2,4,0,11.1,3,14,296,0,58.4,71.4,67.1,62.1,67.9,0.5,1,1,50,0.5,1,203,0,24,95.1,193,88.7,180,132.4,33,3,10.3,21,443,140,5.8,18.5,2.3
Rodney Fields Jr.,188722,HB,OKLA STATE,9,1.5,11,84.8,100.0,2,2,0,3.4,1,12,262,0,79.5,88.9,75.4,56.0,69.3,0.0,0,0,63,17.1,37,216,0,28,80.6,174,13.4,29,111.6,33,1,4.2,9,276,227,8.1,9.9,1.59
Grant Hollier,204912,TE,GA STATE,12,10.2,4,63.6,20.0,1,5,0,16.0,4,17,175,0,47.4,70.6,59.3,70.5,64.8,44.4,107,0,52,3.3,8,241,1,21,89.6,216,46.1,111,131.1,33,4,9.5,23,288,115,5.5,13.7,1.33
Daniel Hill,184536,HB,ALABAMA,14,0.5,3,84.8,100.0,2,2,0,6.7,2,8,103,1,70.7,70.2,65.9,34.3,59.4,4.9,12,0,41,22.9,56,245,0,28,73.1,179,5.7,14,101.5,33,1,7.8,19,196,179,6.4,7.0,1.09
Coleman Bennett,142986,HB,KENNESAW,14,-2.2,13,78.8,,0,0,0,3.7,1,10,200,0,79.5,90.4,82.8,80.4,79.1,1.4,4,0,76,37.0,108,292,0,26,59.2,173,9.9,29,136.1,33,3,1.0,3,310,374,14.4,11.9,1.79
Tyson Davis,145702,WR,C MICHIGAN,12,9.8,4,75.8,66.7,2,3,0,3.8,1,15,134,0,78.0,72.8,74.4,62.1,73.4,0.0,0,2,36,0.6,1,158,0,25,94.9,150,90.5,143,100.9,33,2,9.5,15,323,119,4.8,12.9,2.15
Donovan Lewis,178135,WR,DELAWARE,9,14.0,2,60.6,63.6,7,11,0,9.1,2,11,151,0,63.6,71.3,69.0,,67.7,0.6,1,1,30,0.0,0,155,0,20,92.9,144,8.4,13,77.7,33,1,90.3,140,219,45,2.3,11.0,1.52
Perry Thompson,191279,WR,AUBURN,12,10.8,1,51.5,28.6,2,7,1,10.5,2,8,115,0,60.0,69.7,52.6,,53.2,0.0,0,2,34,0.0,0,239,4,17,94.6,226,13.8,33,39.2,33,0,86.2,206,154,40,2.4,9.1,0.68
Jeremiah Noga,146338,WR,WASH STATE,13,11.6,1,60.6,80.0,4,5,0,0.0,0,11,341,0,86.3,70.7,56.8,34.7,57.8,0.0,0,2,35,0.4,1,280,0,20,93.9,263,8.6,24,65.3,33,1,91.4,256,221,22,1.1,11.1,0.84
Joe Royer,52545,TE,CINCINNATI,13,6.2,4,87.9,75.0,3,4,0,0.0,0,16,138,0,88.9,71.8,59.8,72.4,64.6,45.4,161,0,73,16.6,59,355,4,29,78.6,279,49.3,175,158.3,33,4,2.0,7,416,257,8.9,14.3,1.49
Kylen Evans,184353,WR,TEXAS ST,12,13.5,3,45.5,0.0,0,4,0,21.1,4,11,314,0,34.5,69.6,52.6,,52.5,0.0,0,2,45,0.0,0,257,4,15,95.3,245,45.9,118,51.5,33,1,54.1,139,211,89,5.9,14.1,0.86
Trey Leckner,176682,TE,WASH STATE,13,5.3,3,72.7,50.0,1,2,1,4.0,1,11,341,1,77.2,28.1,57.6,56.6,69.2,73.6,148,2,32,23.4,47,201,9,24,71.6,144,17.4,35,91.2,33,3,4.5,9,186,110,4.6,7.8,1.29
Keontez Lewis,146387,WR,OKLAHOMA,9,12.7,3,63.6,57.1,4,7,0,0.0,0,15,261,1,86.3,26.8,60.6,60.9,61.7,0.0,0,2,28,0.5,1,215,1,21,97.2,209,6.0,13,80.7,33,2,94.0,202,243,45,2.1,11.6,1.16
David Larkins,133685,TE,APP STATE,13,6.9,3,75.8,50.0,3,6,1,0.0,0,13,108,0,87.7,71.1,68.7,55.7,66.3,69.4,197,2,40,29.6,84,284,3,25,68.0,193,26.1,74,87.7,33,2,2.8,8,218,117,4.7,8.7,1.13
Blake Bosma,145938,TE,W MICHIGAN,14,5.5,1,78.8,100.0,4,4,0,0.0,0,12,347,0,88.3,80.6,67.9,68.0,65.5,51.8,143,0,24,15.9,44,276,2,26,79.0,218,37.7,104,107.7,33,1,7.2,20,245,131,5.0,9.4,1.12
Anthony Hankerson,157691,HB,OREGON ST,12,-0.7,8,66.7,100.0,1,1,0,12.0,3,4,265,0,56.1,88.5,73.7,87.5,47.7,1.0,4,0,14,29.3,113,386,2,22,68.9,266,3.4,13,73.2,33,0,4.9,19,123,137,6.2,5.6,0.46
Jake McConnachie,123016,WR,UMASS,11,10.7,2,50.0,22.2,2,9,0,15.8,3,6,216,0,49.2,69.7,56.1,,55.3,0.0,0,2,21,0.0,0,182,0,16,95.1,173,6.6,12,36.1,32,0,93.4,170,141,19,1.2,8.8,0.82
Jaden Platt,172591,TE,ARKANSAS,12,8.9,1,62.5,20.0,1,5,0,13.0,3,15,111,0,53.7,70.2,59.7,67.5,66.0,91.0,242,0,34,16.5,44,266,4,20,78.6,209,6.0,16,111.7,32,2,3.0,8,282,124,6.2,14.1,1.35
Jordon Simmons,129634,HB,GA STATE,11,1.7,1,84.4,,0,0,0,12.9,4,9,175,0,54.4,87.0,70.1,50.1,57.6,0.0,0,0,32,17.7,40,226,0,27,78.8,178,3.1,7,102.1,32,1,2.2,5,192,161,6.0,7.1,1.08
Juice Vereen,170383,TE,UCONN,9,10.4,1,68.8,60.0,3,5,0,8.3,2,12,146,0,65.7,70.6,63.9,55.4,66.1,36.7,61,0,50,9.0,15,166,0,22,87.3,145,46.4,77,139.3,32,5,13.9,23,310,129,5.9,14.1,2.14
Matt Wagner,176320,TE,BOISE ST,14,4.0,6,75.0,57.1,4,7,0,4.0,1,12,120,0,77.2,70.9,57.5,65.1,69.5,70.2,177,0,28,24.2,61,252,4,24,71.0,179,20.2,51,107.7,32,1,8.3,21,251,166,6.9,10.5,1.4
Drew Wagner,190897,WR,NWESTERN,9,8.0,6,68.8,66.7,2,3,0,4.3,1,6,256,0,76.7,81.4,64.8,,64.4,0.0,0,0,40,0.0,0,121,0,22,93.4,113,82.6,100,102.6,32,2,16.5,20,172,119,5.4,7.8,1.52
Devin Spencer,188360,HB,ARK STATE,13,0.0,3,75.0,66.7,2,3,0,7.7,2,6,113,0,67.6,75.7,73.3,87.8,54.7,0.0,0,0,13,14.6,40,274,1,24,81.4,223,2.2,6,79.6,32,0,2.9,8,115,140,5.8,4.8,0.52
Richie Hoskins,163715,WR,VANDERBILT,13,9.6,5,87.5,83.3,5,6,0,3.4,1,19,333,0,80.0,72.0,66.2,,64.8,0.0,0,0,53,0.0,0,289,0,28,94.5,273,82.7,239,139.7,32,3,17.3,50,321,109,3.9,11.5,1.18
Karmello English,176212,WR,COAST CAR,13,8.3,2,62.5,0.0,0,2,1,4.8,1,11,141,0,75.4,70.4,56.0,61.9,55.3,0.0,0,2,42,0.4,1,253,1,20,93.7,237,4.7,12,83.5,32,3,95.3,241,185,104,5.2,9.3,0.78
Jordan King,158320,WR,CAL,11,9.9,2,68.8,50.0,4,8,0,4.3,1,15,130,0,76.1,70.6,63.9,70.4,65.5,2.4,5,0,38,1.0,2,208,2,22,95.2,198,70.7,147,115.1,32,2,26.0,54,268,67,3.0,12.2,1.35
Mason Williams,171367,TE,OHIO,13,5.0,6,81.3,40.0,2,5,1,0.0,0,15,259,0,88.3,72.3,74.4,73.8,74.7,23.1,49,1,30,18.4,39,212,1,26,77.4,164,52.4,111,120.8,32,3,6.6,14,276,192,7.4,10.6,1.68
Cameron Flowers,188745,WR,W KENTUCKY,13,10.6,3,59.4,0.0,0,8,1,0.0,0,12,346,0,85.5,75.0,63.5,,63.6,0.0,0,1,30,0.0,0,183,1,19,91.3,167,51.4,94,75.5,32,1,48.1,88,204,106,5.6,10.7,1.22
Dre'lon Miller,190790,HB,COLORADO,11,7.1,4,65.6,100.0,1,1,0,19.2,5,6,143,0,37.0,61.5,53.4,40.8,48.6,0.9,2,0,32,7.5,17,228,0,21,89.9,205,63.2,144,88.8,32,1,1.8,4,166,122,5.8,7.9,0.81
Brian Rowe Jr.,199945,WR,S CAROLINA,11,7.7,1,61.3,0.0,0,1,0,5.0,1,5,289,0,63.6,73.1,60.7,,60.0,0.0,0,0,24,0.0,0,193,1,19,91.7,177,90.2,174,83.9,31,1,9.8,19,149,79,4.2,7.8,0.84
Bauer Sharp,150160,TE,LSU,13,4.9,2,77.4,60.0,3,5,0,7.7,2,8,211,2,68.4,20.1,47.9,73.3,49.3,57.2,183,1,65,27.2,87,320,6,24,68.1,218,36.6,117,108.0,31,2,4.1,13,248,145,6.0,10.3,1.14
Donavon Greene,97813,WR,VA TECH,9,11.1,1,51.6,30.0,3,10,0,20.0,4,10,337,0,36.9,69.5,59.0,,56.8,0.0,0,0,37,0.0,0,244,2,16,93.9,229,4.5,11,103.4,31,2,95.5,233,274,105,6.6,17.1,1.2
Armani Winfield,158574,WR,COLO STATE,12,9.6,4,71.0,100.0,5,5,0,0.0,0,13,144,0,86.7,70.6,61.2,,61.0,0.0,0,0,49,0.0,0,237,0,22,95.4,226,3.4,8,119.8,31,2,96.6,229,276,142,6.5,12.5,1.22
Deion Colzie,147473,WR,MIAMI OH,11,19.5,0,35.5,20.0,1,5,0,26.7,4,9,221,0,28.3,68.5,54.4,65.3,53.3,0.5,1,3,44,0.5,1,219,2,11,91.8,201,32.4,71,26.7,31,1,67.1,147,178,9,0.8,16.2,0.89
Max Dowling,163805,TE,UMASS,12,6.9,1,64.5,75.0,3,4,0,9.1,2,12,216,0,63.6,70.2,55.0,57.9,54.7,39.3,116,0,77,8.8,26,295,0,20,87.5,258,56.6,167,115.3,31,3,3.1,9,202,95,4.8,10.1,0.78
Keaton Kubecka,173077,WR,KANSAS,12,9.3,1,54.8,50.0,3,6,0,10.5,2,8,198,0,60.2,73.6,59.3,,57.9,0.0,0,1,18,0.0,0,145,1,17,97.2,141,15.2,22,66.2,31,1,84.8,123,157,53,3.1,9.2,1.11
Jaleel Skinner,156343,TE,LOUISVILLE,13,7.8,4,67.7,66.7,2,3,0,4.5,1,11,210,0,75.9,70.9,53.5,69.5,63.3,51.0,124,2,33,22.6,55,243,4,21,72.8,177,43.2,105,80.6,31,2,1.6,4,204,107,5.1,9.7,1.15
Jordan Brown,122548,WR,NEVADA,8,10.7,3,51.6,33.3,2,6,0,15.8,3,10,239,1,49.0,24.7,57.4,,55.7,0.0,0,3,28,0.0,0,159,1,16,95.0,151,28.9,46,30.0,31,0,71.1,113,182,95,5.9,11.4,1.21
Elija Lofton,183234,TE,MIAMI FL,15,5.6,5,74.2,50.0,1,2,0,8.0,2,11,220,0,66.7,72.1,61.4,67.7,62.4,55.0,131,1,29,18.9,45,238,3,23,77.7,185,31.9,76,112.0,31,3,6.3,15,218,128,5.6,9.5,1.18
JP Coulter,199731,WR,LA MONROE,12,11.5,4,67.7,20.0,1,5,0,8.7,2,13,209,1,56.3,27.3,58.5,61.0,58.0,0.0,0,1,39,0.5,1,218,1,21,92.2,201,29.8,65,76.1,31,0,70.2,153,231,91,4.3,11.0,1.15
Tyler Brown,170003,WR,CLEMSON,13,6.2,3,71.0,62.5,5,8,0,12.0,3,11,140,0,47.3,73.6,55.6,44.9,53.5,0.9,2,0,23,0.0,0,217,1,22,95.4,207,95.4,207,86.9,31,0,2.8,6,191,101,4.6,8.7,0.92
Ben Ford,145989,WR,BOISE ST,7,11.7,1,67.7,60.0,3,5,1,16.0,4,17,120,0,48.6,70.7,72.0,,70.8,0.0,0,1,60,0.0,0,168,1,21,94.0,158,28.0,47,128.4,31,5,72.0,121,325,86,4.1,15.5,2.06
Jake Godfrey,175734,WR,LA MONROE,11,13.0,4,53.3,57.1,4,7,0,5.9,1,9,209,0,71.1,80.7,61.1,,61.3,0.0,0,1,37,0.0,0,167,3,16,92.2,154,86.8,145,81.4,30,2,12.0,20,191,25,1.6,11.9,1.24
Micah Tease,172599,WR,TULSA,7,15.7,5,43.3,33.3,3,9,0,13.3,2,9,320,1,53.9,69.5,57.2,,57.7,0.0,0,3,34,0.0,0,186,0,13,95.2,177,15.1,28,37.5,30,1,84.9,158,200,61,4.7,15.4,1.13
Patrick Clacks III,188136,WR,BUFFALO,12,11.6,0,40.0,40.0,2,5,0,14.3,2,2,126,0,52.0,69.4,48.7,,49.7,4.4,8,0,11,0.0,0,181,2,12,95.6,173,72.9,132,70.1,30,2,22.7,41,68,9,0.8,5.7,0.39
Jay Ducker,130550,HB,TEMPLE,12,2.0,2,80.0,0.0,0,1,0,0.0,0,4,306,0,87.4,90.3,83.0,54.8,65.0,0.0,0,0,15,30.7,69,225,0,24,66.7,150,8.0,18,103.6,30,2,0.4,1,106,88,3.7,4.4,0.71
Zach Atkins,198297,TE,COLORADO,12,4.3,4,66.7,66.7,4,6,0,4.8,1,6,143,0,74.4,70.2,53.5,62.9,53.9,63.8,180,0,22,24.8,70,282,1,20,73.8,208,35.5,100,78.3,30,0,0.7,2,149,101,5.1,7.5,0.72
Chip Trayanum,131631,HB,TOLEDO,11,-0.1,3,70.0,0.0,0,1,1,8.7,2,10,316,0,64.7,74.9,76.7,60.9,56.5,2.2,6,0,57,26.7,73,273,1,21,68.5,187,4.4,12,112.1,30,2,3.3,9,212,224,10.7,10.1,1.13
Ethan Davis,174722,TE,TENNESSEE,9,7.0,5,70.0,75.0,3,4,0,4.5,1,12,307,0,75.2,70.4,65.4,56.2,73.5,37.7,72,1,40,23.6,45,191,4,21,73.8,141,44.5,85,104.4,30,2,3.1,6,257,144,6.9,12.2,1.82
Corey Smith,190745,WR,PURDUE,12,12.9,0,46.7,20.0,1,5,0,22.2,4,8,273,2,32.3,22.8,55.7,,54.2,0.0,0,1,60,0.0,0,169,0,14,95.3,161,11.8,20,70.0,30,1,88.2,149,229,55,3.9,16.4,1.42
Justyn Reid,176430,TE,TULANE,14,6.6,2,56.7,50.0,1,2,1,15.0,3,10,319,0,49.0,69.7,52.5,61.5,55.1,58.8,147,0,33,28.8,72,250,3,17,68.0,170,24.8,62,110.4,30,3,9.6,24,200,134,7.9,11.8,1.18
Aidan Mizell,174257,WR,FLORIDA,8,9.6,2,63.3,60.0,3,5,0,5.0,1,13,163,0,73.6,70.1,68.6,,69.3,0.0,0,4,23,0.0,0,128,0,19,97.7,125,25.0,32,51.0,30,1,73.4,94,177,69,3.6,9.3,1.42
Theo Melin Ohrstrom,158662,TE,TEXAS A&M,13,6.9,1,63.3,100.0,1,1,0,5.0,1,11,312,0,73.8,70.1,58.2,76.6,59.0,67.9,178,3,28,21.8,57,262,0,19,73.3,192,24.4,64,49.7,30,1,6.5,17,168,88,4.6,8.8,0.88
